CREATOR_Delay,PROCESS_Separate_Delay,PROCESS_Jacket_Delay,PROCESS_Pants_Delay,PROCESS_Assembly_SuccessDelay,PROCESS_Assembly_FailureDelay,PROCESS_Customer_Support_Delay,Time.1,CREATOR_Quantity,PROCESS_Separate_MeanQueue,PROCESS_Separate_MaxQueue,PROCESS_Separate_MeanState,PROCESS_Jacket_MeanQueue,PROCESS_Jacket_MaxQueue,PROCESS_Jacket_MeanState,PROCESS_Pants_MeanQueue,PROCESS_Pants_MaxQueue,PROCESS_Pants_MeanState,PROCESS_Assembly_JacketMeanQueue,PROCESS_Assembly_JacketMaxQueue,PROCESS_Assembly_MeanState,PROCESS_Assembly_UndamagedProcessed,PROCESS_Assembly_MaxTimeInSystem,PROCESS_Assembly_MeanTimeInSystem,PROCESS_Customer_Support_MeanQueue,PROCESS_Customer_Support_MaxQueue,PROCESS_Customer_Support_MeanState,PROCESS_Customer_Support_MaxTimeInSystem,PROCESS_Customer_Support_MeanTimeInSystem
8.0,4.0,3.0,6.0,6.0,9.0,10.0,1001.453,122.7,0.914,6.0,0.488,0.624,5.4,0.367,2.508,9.6,0.72,4.379,12.3,0.731,99.5,92.843,47.443,0.201,2.0,0.177,107.723,61.595
8.0,4.0,3.0,6.0,6.0,9.0,14.0,1001.684,124.3,0.897,6.0,0.484,0.626,5.0,0.372,2.044,8.7,0.722,4.124,12.9,0.732,100.0,101.948,44.776,0.309,2.5,0.235,123.143,67.08
8.0,4.0,7.0,2.0,6.0,6.0,10.0,1002.214,119.4,0.928,6.5,0.486,3.408,10.7,0.789,0.301,3.6,0.239,2.1,9.2,0.697,96.9,118.707,54.1,0.235,2.2,0.188,120.253,65.25
8.0,4.0,7.0,2.0,6.0,6.0,14.0,1001.106,125.0,1.052,6.6,0.501,5.207,14.5,0.85,0.303,3.9,0.242,2.835,11.3,0.743,102.2,145.291,74.215,0.25,2.3,0.204,148.323,88.431
8.0,8.0,3.0,2.0,4.0,9.0,10.0,1001.561,130.4,8.297,19.0,0.915,0.566,4.9,0.365,0.302,3.6,0.239,1.317,8.0,0.536,98.7,159.202,77.566,0.231,2.5,0.179,161.303,100.266
8.0,8.0,3.0,2.0,4.0,9.0,14.0,1001.604,127.1,6.873,19.0,0.913,0.466,4.6,0.323,0.325,4.3,0.239,1.127,6.4,0.519,95.3,141.597,64.984,0.31,2.7,0.248,155.276,87.885
8.0,8.0,7.0,6.0,4.0,6.0,10.0,1002.787,124.7,8.545,20.6,0.922,3.48,11.4,0.735,2.206,9.3,0.688,1.654,8.0,0.475,92.4,192.698,110.043,0.195,2.3,0.165,202.566,122.024
8.0,8.0,7.0,6.0,4.0,6.0,14.0,1002.376,127.9,8.893,18.1,0.946,2.56,9.2,0.741,1.679,7.7,0.647,1.478,7.3,0.47,93.5,170.868,105.228,0.287,2.5,0.227,178.801,117.281
12.0,4.0,3.0,6.0,4.0,6.0,10.0,1003.384,88.3,0.498,3.9,0.343,0.32,3.6,0.251,1.029,5.6,0.527,1.399,6.1,0.385,74.2,65.938,25.241,0.138,2.1,0.122,69.262,37.629
12.0,4.0,3.0,6.0,4.0,6.0,14.0,1006.443,82.6,0.492,4.7,0.331,0.338,3.9,0.246,0.939,5.8,0.481,1.122,5.8,0.328,70.1,56.799,23.989,0.181,1.8,0.152,78.781,40.872
12.0,4.0,7.0,2.0,4.0,9.0,10.0,1002.304,81.0,0.455,4.1,0.319,1.251,7.0,0.555,0.184,3.1,0.153,0.531,4.2,0.344,67.3,71.326,26.742,0.129,1.4,0.118,76.414,44.077
12.0,4.0,7.0,2.0,4.0,9.0,14.0,1002.943,83.2,0.531,4.4,0.348,1.2,6.6,0.543,0.207,3.2,0.173,0.62,4.9,0.369,68.8,68.758,27.258,0.199,1.9,0.17,84.821,46.827
12.0,8.0,3.0,2.0,6.0,6.0,10.0,1004.719,84.0,2.03,8.4,0.679,0.314,3.8,0.236,0.193,3.1,0.162,0.934,5.8,0.465,70.9,92.3,39.277,0.145,1.9,0.124,91.039,52.434
12.0,8.0,3.0,2.0,6.0,6.0,14.0,1001.856,77.2,1.25,6.2,0.575,0.296,3.2,0.23,0.191,2.9,0.159,0.835,4.9,0.435,63.8,71.388,30.898,0.182,2.1,0.158,80.387,46.407
12.0,8.0,7.0,6.0,6.0,9.0,10.0,1002.079,84.2,1.841,7.7,0.669,1.4,6.3,0.572,0.842,5.6,0.471,1.32,6.4,0.497,67.8,107.788,53.741,0.148,2.3,0.115,111.752,69.995
12.0,8.0,7.0,6.0,6.0,9.0,14.0,1003.094,81.7,1.431,6.1,0.643,1.13,6.4,0.548,0.845,5.1,0.471,1.234,6.6,0.479,66.2,96.231,46.299,0.167,1.7,0.15,106.807,64.299
